Empresa,Circuito,Abonados,DPIR,FPI
CNFL,BRASIL-CIUDAD COLON,8430,17.04,19.85
CNFL,CAJA-INDUSTRIAS,2189,16.36,11.93
CNFL,ELECTRIONA-MONTANA,821,15.90,10.15
CNFL,BARVA-CIPRESAL,3677,15.76,7.54
CNFL,CORONADO-CASCAJAL,9646,13.07,18.22
CNFL,DESAMPARADOS-SANTA MARTA,13964,12.19,13.74
CNFL,ALAJUELITA-LA VERBENA,11765,12.12,8.74
CNFL,LINDORA-GUACIMA,10643,11.20,12.76
CNFL,ESTE-SAN DIEGO,14645,10.80,7.18
CNFL,DESAMPARADOS-CALLE FALLAS,11297,10.61,9.45
CNFL,HIGUITO-PATARRÁ,9399,9.64,7.24
CNFL,PORROSATI-SANTA BARBARA,16994,8.91,7.78
CNFL,ESCAZU-JABONCILLOS,10961,8.75,9.51
CNFL,ANONOS-INDUSTRIAL,3139,8.20,7.30
CNFL,BRASIL-REFORMA,5289,8.10,15.49
CNFL,COLIMA-PRIMER AMOR,3159,8.04,7.96
CNFL,LINDORA-BRASIL,904,7.47,14.82
CNFL,SABANILLA-SAN RAFAEL,15295,6.64,9.67
CNFL,ESCAZÚ-PIEDADES,6843,6.59,10.22
CNFL,HEREDIA-LOS LAGOS,2650,6.50,9.07
CNFL,COLIMA-GUADALUPE 2,5031,6.43,8.70
ESPH,LOS ANGELES,7625,8.35,9.07
ICE,PAILAS – HOSPITAL,12,57.28,25.50
ICE,GARITA-PARRITA,1912,49.67,24.47
ICE,LIBERIA-URBANO,11245,41.08,16.46
ICE,MOIN-PUERTO VIEJO,5370,30.23,11.83
ICE,PARRITA-QUEPOS,13878,29.53,11.33
ICE,JUANILAMA-JACO,8192,29.43,16.75
ICE,COBANO - POCHOTE,7144,28.66,15.68
ICE,SANTA RITA-NOSARA,13765,27.95,12.23
ICE,TORO-LAGUNA,122,27.78,8.22
ICE,PAPAGAYO-ENLACE LIBERIA,534,27.37,18.34
ICE,RIO CLARO-CHACARITA,3088,26.87,27.00
ICE,SANTA RITA-RESPALDO NOSARA,11713,26.72,13.21
ICE,COBANO - LA ESPERANZA,2273,25.97,18.88
ICE,CAÑAS-LA IRMA,6589,25.29,10.98
ICE,CAHUITA-BRIBRI,15944,24.98,15.52
ICE,SAN ISIDRO-QUEPOS,22794,24.83,13.26
ICE,COBANO - URBANO,7402,24.37,11.42
ICE,MIRAVALLES-DEL ORO,13949,24.06,12.57
ICE,PALMAR-PALMAR SUR,11706,23.06,19.86
ICE,PARRITA-JACO,4330,21.87,17.09
ICE,MIRAVALLES-GUATUSO,24587,21.46,13.80
ICE,JACO ESTERILLOS,396,21.42,7.32
ICE,PAILAS-CURUBANDE,8152,21.28,10.07
ICE,RIO CLARO-GOLFITO,17064,20.99,14.61
ICE,PARRITA-SAVEGRE,16086,20.50,18.44
ICE,LEESVILLE-PIÑERAS,14722,19.88,11.80
ICE,GARITA-JUNQUILLO,10445,19.48,10.05
ICE,ARENAL-SANGREGADO,8392,18.53,16.14
ICE,JUANILAMA-HERRADURA,5556,17.64,11.99
ICE,GARITA-ATENAS,966,17.60,15.63
ICE,CAÑAS-GUAYABO,5394,17.19,10.57
ICE,SANTA RITA-COBANO,4183,16.22,10.37
ICE,LIBERIA-BAGACES,19326,14.24,11.39
ICE,MOIN-SIXAOLA,8930,14.18,10.89
ICE,PALMAR-PUERTO JIMENEZ,4694,14.06,23.23
ICE,GARABITO-LA IRMA,10686,13.92,13.83
ICE,SAN ISIDRO-PEJIBAYE,24790,13.52,11.18
ICE,GARITA-CIRUELAS,4336,12.48,10.31
ICE,ANGOSTURA-TRES EQUIS,5832,12.35,7.70
ICE,BARRANCA-FERTICA,406,12.27,10.76
ICE,PARRITA-MANUEL ANTONIO,5614,12.17,12.69
ICE,CAÑAS-BEBEDERO,9993,12.03,11.42
ICE,SAN ISIDRO-BUENOS AIRES,23994,11.95,7.28
ICE,TRAPICHE - ZENT,27622,11.56,13.19
ICE,CAHUITA-COSTANERA,14130,11.52,7.92
ICE,SAN ISIDRO-BUENA VISTA,21472,11.28,8.40
ICE,MIRAVALLES-LOS CHILES,34977,10.99,10.56
ICE,LEESVILLE-GUACIMO,25992,10.29,7.70
ICE,SAN ISIDRO-BUENOS AIRES NUEVO,26430,10.25,8.87
ICE,RIO CLARO-COTOS,6956,9.65,8.18
ICE,ANGOSTURA-PERALTA,5290,9.42,7.29
ICE,NARANJO-ROSARIO,5875,8.22,9.05
ICE,LIBERIA-PEÑAS BLANCAS,23407,8.19,7.67
ICE,TRAPICHE - SIQUIRRES 1,17856,8.17,8.75
ICE,LEESVILLE -RIO FRIO,41338,7.64,7.47
ICE,MIRAVALLES-GUAYABO,10339,7.31,9.81
ICE,JACO HERRADURA,6418,7.22,8.92
ICE,BARRANCA-CALDERA,4768,7.03,8.63
ICE,BARRANCA-PUNTARENAS 1,14188,6.96,8.37
ICE,RIO CLARO-SAN VITO,26110,6.39,11.00
ICE,POAS-TACARES,2835,6.34,8.34
LESCA,MONTERREY,4381,19.79,8.57
LESCA,SAN ISIDRO,12051,15.51,7.19
LESCA,SAN FRANCISCO,1408,13.77,9.48
LESCA,LA TABLA,4022,10.69,7.58
LESCA,FORTUNA,11150,10.39,7.14
LESCA,SANTA ROSA,11403,9.39,8.69
SANTOS,MORA,5986,18.81,18.65
SANTOS,LA PAZ,2351,13.13,9.92
SANTOS,ACOSANTA (2),15242,12.19,16.27
SANTOS,SAN GERARDO-PROVIDENCIA,333,9.97,10.06
SANTOS,DOTA,6197,8.80,7.84
SANTOS,SAN ANTONIO,12430,8.26,7.96
SANTOS,RIO CONEJO (9),8392,6.99,8.36
